order,config_id,model,family,dataset,task,metric,n_runs,mean,std,min,max
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,ranking,mrr_at_100,1,0.8672711899230319,,0.8672711899230319,0.8672711899230319
4,embedding_bge,BGE,frozen_embedding,walmart_amazon,ranking,ndcg_at_100,1,0.8971902444358406,,0.8971902444358406,0.8971902444358406
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,classification,f1,1,0.35673076923076924,,0.35673076923076924,0.35673076923076924
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_1,1,0.34808853118712274,,0.34808853118712274,0.34808853118712274
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,ranking,hits_at_100_end_to_end,1,0.994,,0.994,0.994
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,ranking,mrr_at_100,1,0.5063740391861297,,0.5063740391861297,0.5063740391861297
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_seen,ranking,ndcg_at_100,1,0.6180363436502825,,0.6180363436502825,0.6180363436502825
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,classification,f1,1,0.4070138150903294,,0.4070138150903294,0.4070138150903294
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_1,1,0.4415322580645161,,0.4415322580645161,0.4415322580645161
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100,1,1.0,,1.0,1.0
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,ranking,hits_at_100_end_to_end,1,0.992,,0.992,0.992
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,ranking,mrr_at_100,1,0.6034686457352678,,0.6034686457352678,0.6034686457352678
4,embedding_bge,BGE,frozen_embedding,wdc_80_medium_unseen,ranking,ndcg_at_100,1,0.6966157356052115,,0.6966157356052115,0.6966157356052115
5,embedding_gte,GTE,frozen_embedding,abt_buy,classification,f1,1,0.5,,0.5,0.5
5,embedding_gte,GTE,frozen_embedding,abt_buy,ranking,hits_at_1,1,0.8181818181818182,,0.8181818181818182,0.8181818181818182
5,embedding_gte,GTE,frozen_embedding,abt_buy,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,abt_buy,ranking,hits_at_100_end_to_end,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,abt_buy,ranking,mrr_at_100,1,0.8837868480725624,,0.8837868480725624,0.8837868480725624
5,embedding_gte,GTE,frozen_embedding,abt_buy,ranking,ndcg_at_100,1,0.910553278511335,,0.910553278511335,0.910553278511335
5,embedding_gte,GTE,frozen_embedding,amazon_google,classification,f1,1,0.5440900562851783,,0.5440900562851783,0.5440900562851783
5,embedding_gte,GTE,frozen_embedding,amazon_google,ranking,hits_at_1,1,0.8333333333333334,,0.8333333333333334,0.8333333333333334
5,embedding_gte,GTE,frozen_embedding,amazon_google,ranking,hits_at_100,1,1.0,,1.0,1.0
5,embedding_gte,GTE,frozen_embedding,amazon_google,ranking,hits_at_100_end_to_end,1,0.9938650306748467,,0.9938650306748467,0.9938650306748467
5,embedding_gte,GTE,frozen_embedding,amazon_google,ranking,mrr_at_100,1,0.8980354693317655,,0.8980354693317655,0.8980354693317655
