order,config_id,model,family,dataset,task,seed,metric,value,source
3,embedding_minilm,MiniLM,frozen_embedding,abt_buy,ranking,deterministic,ndcg_at_100,0.8055686100063212,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/abt_buy/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,classification,deterministic,f1,0.422360248447205,exp03_full_matrix_finalize_20260819/inventory/exp01_final/amazon_google/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,deterministic,hits_at_1,0.7654320987654321,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/amazon_google/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/amazon_google/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,deterministic,hits_at_100_end_to_end,0.9938650306748467,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/amazon_google/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,deterministic,mrr_at_100,0.8498053148616754,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/amazon_google/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,amazon_google,ranking,deterministic,ndcg_at_100,0.8816386941208715,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/amazon_google/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,classification,deterministic,f1,0.6106623586429726,exp03_full_matrix_finalize_20260819/inventory/exp01_final/link_lives_release2/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,deterministic,hits_at_1,0.5386542591267001,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/link_lives_release2/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/link_lives_release2/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,deterministic,hits_at_100_end_to_end,0.8596923076923076,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/link_lives_release2/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,deterministic,mrr_at_100,0.6386966117751812,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/link_lives_release2/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,link_lives_release2,ranking,deterministic,ndcg_at_100,0.7147321721341927,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/link_lives_release2/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,classification,deterministic,f1,0.37393767705382436,exp03_full_matrix_finalize_20260819/inventory/exp01_final/walmart_amazon/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_1,0.7022900763358778,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/walmart_amazon/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/walmart_amazon/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/walmart_amazon/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,deterministic,mrr_at_100,0.8009086121681542,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/walmart_amazon/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,walmart_amazon,ranking,deterministic,ndcg_at_100,0.8455267624729792,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/walmart_amazon/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,classification,deterministic,f1,0.3089788732394366,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_seen/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_1,0.24032586558044808,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_seen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_seen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,hits_at_100_end_to_end,0.982,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_seen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,mrr_at_100,0.4062051906859387,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_seen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_seen,ranking,deterministic,ndcg_at_100,0.537046585300638,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_seen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,classification,deterministic,f1,0.34499753573188763,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_unseen/sentence-transformers__all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_1,0.3634453781512605,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_unseen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_unseen/metrics.json
3,embedding_minilm,MiniLM,frozen_embedding,wdc_80_medium_unseen,ranking,deterministic,hits_at_100_end_to_end,0.952,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking_by_backbone/sentence-transformers__all-MiniLM-L6-v2/wdc_80_medium_unseen/metrics.json
