family,dataset,mask_probability,mask_seed,left_model,right_model,metric,comparison_type,left_mean,right_mean,paired_difference,ci95_lower,ci95_upper,effect_size_paired_dz,probability_of_superiority,raw_p_value,queries,holm_adjusted_p_value,statistically_supported_0_05
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,reciprocal_rank,within_gbdt,0.8668709333269343,0.9014729125330064,-0.03460197920607189,-0.0742110888487622,0.0025084443425808342,-0.14029823307214057,0.4740259740259741,0.0692,154,0.4152,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,hef_gbdt_e5_roberta_oof,hef_gbdt_e5_jina_oof,hit_at_1,within_gbdt,0.8311688311688312,0.8701298701298701,-0.03896103896103896,-0.08441558441558442,0.006493506493506494,-0.12988789390883407,0.4805194805194805,0.1272,154,0.7632000000000001,False
public__abt_buy__p10__seed20260726__reciprocal_rank,abt_buy,0.1,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,reciprocal_rank,within_joint,0.8721917158736772,0.8873006666754518,-0.01510895080177445,-0.055303913644117624,0.023746181084292595,-0.05963503705521904,0.48376623376623373,0.44,154,1.0,False
public__abt_buy__p10__seed20260726__hit_at_1,abt_buy,0.1,20260726,joint_neural_hef_roberta,joint_neural_hef_jina,hit_at_1,within_joint,0.8311688311688312,0.8506493506493507,-0.01948051948051948,-0.07142857142857142,0.032467532467532464,-0.05854227158969605,0.4902597402597403,0.5304,154,1.0,False
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family,0.9002913620237928,0.8001182299255951,0.10017313209819777,0.04677430474901856,0.15442385561348204,0.29871276672530267,0.5876623376623377,0.0002,154,0.002,True
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,jina_finetuned,hef_linear_bert,hit_at_1,cross_family,0.8636363636363636,0.7207792207792207,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.30827107535515086,0.5714285714285714,0.0002,154,0.002,True
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.9002913620237928,0.8960097787096218,0.00428158331417093,-0.02604591431921097,0.034016735222094405,0.02223580168776325,0.5,0.7652,154,1.0,False
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.8636363636363636,0.8506493506493507,0.012987012987012988,-0.025974025974025976,0.05194805194805195,0.050865081278874354,0.5064935064935064,0.6162,154,1.0,False
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.9002913620237928,0.8758637179408096,0.024427644082983258,-0.01595256631700917,0.06615753291664296,0.09292497269031995,0.512987012987013,0.2364,154,1.0,False
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family,0.8636363636363636,0.8441558441558441,0.01948051948051948,-0.032467532467532464,0.07792207792207792,0.05536539403719199,0.5097402597402597,0.5536,154,1.0,False
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.8001182299255951,0.8960097787096218,-0.09589154878402684,-0.1391737968813718,-0.05496527607270097,-0.3643165270937457,0.4090909090909091,0.0,154,0.0,True
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.7207792207792207,0.8506493506493507,-0.12987012987012986,-0.19480519480519481,-0.07142857142857142,-0.33206489034399117,0.4350649350649351,0.0,154,0.0,True
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8001182299255951,0.8758637179408096,-0.07574548801521451,-0.1344492372386627,-0.018638364331603426,-0.20854144573814573,0.43506493506493504,0.0102,154,0.0918,False
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family,0.7207792207792207,0.8441558441558441,-0.12337662337662338,-0.2012987012987013,-0.05194805194805195,-0.2592330410318994,0.4383116883116883,0.0012,154,0.010799999999999999,True
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8960097787096218,0.8758637179408096,0.02014606076881233,-0.01628115050211441,0.057457044932696044,0.0851067461127136,0.512987012987013,0.284,154,1.0,False
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,hef_gbdt_e5_roberta_oof,joint_neural_hef_roberta,hit_at_1,cross_family,0.8506493506493507,0.8441558441558441,0.006493506493506494,-0.045454545454545456,0.05194805194805195,0.02074308698450677,0.5032467532467533,0.895,154,1.0,False
public__abt_buy__p10__seed20260727__reciprocal_rank,abt_buy,0.1,20260727,jina_finetuned,roberta_finetuned,reciprocal_rank,within_standalone,0.9002913620237928,0.9038242016415351,-0.003532839617742069,-0.0361676748038172,0.03029823285489862,-0.016787452011698147,0.487012987012987,0.8284,154,1.0,False
public__abt_buy__p10__seed20260727__hit_at_1,abt_buy,0.1,20260727,jina_finetuned,roberta_finetuned,hit_at_1,within_standalone,0.8636363636363636,0.8701298701298701,-0.006493506493506494,-0.05194805194805195,0.03896103896103896,-0.022282392022763595,0.4967532467532468,0.892,154,1.0,False
