config_id,model,family,dataset,runs,f1_mean,f1_std,status
25,Jina zero-shot,neural_em,link_lives_release2,1,0.6203385165818082,,complete
26,Jina fine-tuned,neural_em,abt_buy,3,0.897439358065987,0.01573740260011199,complete
26,Jina fine-tuned,neural_em,amazon_google,3,0.7587592735968288,0.005232030310106163,complete
26,Jina fine-tuned,neural_em,walmart_amazon,3,0.8594039314528019,0.0040068559550517765,complete
26,Jina fine-tuned,neural_em,wdc_80_medium_seen,3,0.7513733462020866,0.0027154907724086888,complete
26,Jina fine-tuned,neural_em,wdc_80_medium_unseen,3,0.7395250653959681,0.009391525407977337,complete
26,Jina fine-tuned,neural_em,link_lives_release2,3,0.9320421619843211,0.006754496527938473,complete
27,Tuned RoBERTa,neural_em,abt_buy,3,0.9081467023346296,0.006447205657516212,complete
27,Tuned RoBERTa,neural_em,amazon_google,3,0.7622027950443284,0.00739362946388447,complete
27,Tuned RoBERTa,neural_em,walmart_amazon,3,0.8769318777643912,0.0047578485321587444,complete
27,Tuned RoBERTa,neural_em,wdc_80_medium_seen,3,0.7262304504271563,0.0025464906731524177,complete
27,Tuned RoBERTa,neural_em,wdc_80_medium_unseen,3,0.6996747331155094,0.00629329228832807,complete
27,Tuned RoBERTa,neural_em,link_lives_release2,3,0.9386961887919711,0.003024811624999481,complete
28,Ditto-style RoBERTa + MixDA,neural_em,abt_buy,3,0.9078406736685065,0.008430171747014884,complete
28,Ditto-style RoBERTa + MixDA,neural_em,amazon_google,3,0.7498875796299204,0.020974861280419754,complete
28,Ditto-style RoBERTa + MixDA,neural_em,walmart_amazon,3,0.8808617107778979,0.010344700649587814,complete
28,Ditto-style RoBERTa + MixDA,neural_em,wdc_80_medium_seen,3,0.7345928267342691,0.00965996137646398,complete
28,Ditto-style RoBERTa + MixDA,neural_em,wdc_80_medium_unseen,3,0.7194337135882146,0.004406975690798568,complete
28,Ditto-style RoBERTa + MixDA,neural_em,link_lives_release2,3,0.9446015462195482,0.0018306528392344693,complete
29,Official Ditto,neural_em,abt_buy,3,0.8999045547308704,0.00821654974880171,complete
29,Official Ditto,neural_em,amazon_google,3,0.7321151432209296,0.02768804600833604,complete
29,Official Ditto,neural_em,walmart_amazon,3,0.8551479468599034,0.01268183335855834,complete
29,Official Ditto,neural_em,wdc_80_medium_seen,3,0.721572935752835,0.007416866950547274,complete
29,Official Ditto,neural_em,wdc_80_medium_unseen,3,0.7033451080401064,0.016425999760399795,complete
29,Official Ditto,neural_em,link_lives_release2,3,0.9419036785044149,0.0006306207322233532,complete
30,Official Ditto + MixDA,neural_em,abt_buy,3,0.8971790042365058,0.006063390621773394,complete
30,Official Ditto + MixDA,neural_em,amazon_google,3,0.7441807302747998,0.006355857976714687,complete
30,Official Ditto + MixDA,neural_em,walmart_amazon,3,0.8660622876942443,0.008333357031610374,complete
30,Official Ditto + MixDA,neural_em,wdc_80_medium_seen,3,0.735416073904778,0.008065578300738426,complete
30,Official Ditto + MixDA,neural_em,wdc_80_medium_unseen,3,0.7011777335733006,0.006355918225909939,complete
30,Official Ditto + MixDA,neural_em,link_lives_release2,3,0.9452541917942754,0.0011271712949278694,complete
31,AnyMatch,neural_em,abt_buy,3,0.6029614250794197,0.05331381198902977,complete
31,AnyMatch,neural_em,amazon_google,3,0.429632209234734,0.03641781090669923,complete
31,AnyMatch,neural_em,walmart_amazon,3,0.496930729822103,0.09491513104129645,complete
31,AnyMatch,neural_em,wdc_80_medium_seen,3,0.3666066631694276,0.005523981200980228,complete
31,AnyMatch,neural_em,wdc_80_medium_unseen,3,0.4028127833671178,0.05934367073913444,complete
31,AnyMatch,neural_em,link_lives_release2,3,0.32322731773286,0.027906518780679436,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,abt_buy,3,0.72544080604534,0,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,amazon_google,3,0.5995717344753747,0,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,walmart_amazon,3,0.7784431137724551,0,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,wdc_80_medium_seen,3,0.47043189368770766,0,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,wdc_80_medium_unseen,3,0.5127055306427504,0,complete
32,HEF-GBDT + MixDA-style augmentation + E5,mixda_hef,link_lives_release2,3,0.8595161760419702,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,abt_buy,3,0.712871287128713,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,amazon_google,3,0.5708502024291497,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,walmart_amazon,3,0.7675070028011205,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,wdc_80_medium_seen,3,0.44129554655870445,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,wdc_80_medium_unseen,3,0.4921700223713647,0,complete
33,HEF-GBDT + MixDA-style augmentation + Jina embedding,mixda_hef,link_lives_release2,3,0.8455789028345789,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,abt_buy,3,0.7255369928400954,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,amazon_google,3,0.5799256505576208,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,walmart_amazon,3,0.7917888563049852,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,wdc_80_medium_seen,3,0.44820846905537454,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,wdc_80_medium_unseen,3,0.5186267348429511,0,complete
34,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,mixda_hef,link_lives_release2,3,0.8375035141973574,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,abt_buy,3,0.7105882352941176,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,amazon_google,3,0.5628140703517588,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,walmart_amazon,3,0.7719298245614036,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,wdc_80_medium_seen,3,0.44039270687237025,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,wdc_80_medium_unseen,3,0.4868519909842224,0,complete
35,HEF-GBDT + MixDA-style augmentation + BERT embedding,mixda_hef,link_lives_release2,3,0.8487734487734487,0,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,abt_buy,3,0.7813528634531021,0.009210017779363863,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,amazon_google,3,0.6093224497279758,0.0019468574530799704,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,walmart_amazon,3,0.8090884839208204,0.008267900277382006,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,wdc_80_medium_seen,3,0.5456060235780749,0.013824574998092188,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,wdc_80_medium_unseen,3,0.5969004923936209,0.016031600490715215,complete
36,HEF-GBDT + E5 + Jina zero-shot,cross_evidence,link_lives_release2,3,0.8817839873657857,0.0022974999476958633,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,abt_buy,3,0.8886010287365848,0.008695166463905208,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,amazon_google,3,0.6430276814390999,0.057943966671710964,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,walmart_amazon,3,0.8586654328514616,0.017325268855243353,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,wdc_80_medium_seen,3,0.7277520288026452,0.00770245486352903,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,wdc_80_medium_unseen,3,0.7063013304566703,0.014827419849563872,complete
37,HEF-GBDT + E5 + Official Ditto,cross_evidence,link_lives_release2,3,0.9434602954540373,0.0013600065316157648,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,abt_buy,3,0.8950072974173487,0.011135134147762791,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,amazon_google,3,0.7160123972444903,0.017423146770002274,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,walmart_amazon,3,0.8768536160384558,0.007472351403645231,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,wdc_80_medium_seen,3,0.7439648015881638,0.007706518689079666,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,wdc_80_medium_unseen,3,0.7137804003702518,0.00765069283319863,complete
38,HEF-GBDT + E5 + Official Ditto + MixDA,cross_evidence,link_lives_release2,3,0.9433602794151928,0.00027327596271237587,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,abt_buy,3,0.8322162340322686,0.007358878408071943,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,amazon_google,3,0.7450087046420725,0.008322095105821678,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,walmart_amazon,3,0.8436628793789037,0.014158589687123288,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,wdc_80_medium_seen,3,0.6859479596940505,0.012229565880741103,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,wdc_80_medium_unseen,3,0.6302255827084084,0.02416871802352109,complete
39,Joint neural HEF + BERT (fine-tuned),joint_neural_hef,link_lives_release2,3,0.918734725099816,0.006396450977756469,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,abt_buy,3,0.8180361739022247,0.016244829048907124,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,amazon_google,3,0.726530030040451,0.015178374132021269,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,walmart_amazon,3,0.7479685615950058,0.019506218960089184,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,wdc_80_medium_seen,3,0.5903437600600643,0.008574309746173969,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,wdc_80_medium_unseen,3,0.5385377808922224,0.004904223997238856,complete
40,Joint neural HEF + BGE (fine-tuned),joint_neural_hef,link_lives_release2,3,0.8918557939359322,0.007631575945967611,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,abt_buy,3,0.8358651239164471,0.009428344627232356,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,amazon_google,3,0.7482710707007958,0.008439039465049326,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,walmart_amazon,3,0.7410604895014904,0.03347111781738205,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,wdc_80_medium_seen,3,0.637965347580645,0.0047370177610474755,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,wdc_80_medium_unseen,3,0.5840077180651984,0.01074257892412299,complete
41,Joint neural HEF + E5 (fine-tuned),joint_neural_hef,link_lives_release2,3,0.8976878793939297,0.0031718551449757115,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,abt_buy,3,0.8533449310271765,0.0075493478863013115,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,amazon_google,3,0.7598422180230867,0.015290087281484422,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,walmart_amazon,3,0.805508411422606,0.015408369172401674,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,wdc_80_medium_seen,3,0.6767223231239062,0.009148147049667314,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,wdc_80_medium_unseen,3,0.67452283309331,0.011907213752835507,complete
42,Joint neural HEF + GTE (fine-tuned),joint_neural_hef,link_lives_release2,3,0.9220103690798105,0.0050521833293365,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,abt_buy,3,0.9009905226722928,0.009725306209255808,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,amazon_google,3,0.786361202219906,0.021581554819028518,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,walmart_amazon,3,0.8593884006259921,0.003456189149290102,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,wdc_80_medium_seen,3,0.7483781939043581,0.007359436569800402,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,wdc_80_medium_unseen,3,0.7438793656396636,0.013665524488649937,complete
43,Joint neural HEF + JINA (fine-tuned),joint_neural_hef,link_lives_release2,3,0.9364384903887712,0.001547609868214419,complete
44,Joint neural HEF + MINILM (fine-tuned),joint_neural_hef,abt_buy,3,0.7564367041586758,0.010459048877983991,complete
44,Joint neural HEF + MINILM (fine-tuned),joint_neural_hef,amazon_google,3,0.7106631713145942,0.01170650557971825,complete
44,Joint neural HEF + MINILM (fine-tuned),joint_neural_hef,walmart_amazon,3,0.7296618220225776,0.016787016688497927,complete
