model_family,dataset,fraction_percent,seed_count,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,ece_mean,ece_std
hef_gbdt_e5_finetuned_jina_oof,amazon_google,4,3,0.6250195110431054,0.010841115746844637,0.545381459303615,0.021571270944725662,0.7336182336182336,0.03427694990175493,0.9154600952803964,0.0021922178996236046,0.5806904114751347,0.0055423757486315174,0.059613912897108615,0.003244752178114518,0.03470596028718147,0.012077990011026761
hef_gbdt_e5_finetuned_jina_oof,amazon_google,5,3,0.6377387597089434,0.018028813628099417,0.5541851266398328,0.018651317633552243,0.7535612535612536,0.0556103170824591,0.9206544404456012,0.005611773145572149,0.6045147264102474,0.03500291002335622,0.05632559457633062,0.001205062742798455,0.022288900219184216,0.006757401157732003
hef_gbdt_e5_finetuned_jina_oof,amazon_google,10,3,0.6605910985607301,0.010152922594752823,0.5693797462201537,0.029917780576088435,0.7891737891737892,0.03235845211282208,0.9266215724447876,0.004416869827029273,0.633548744556116,0.023366671342856398,0.05217802945182608,0.0006588449974927475,0.01767630683842411,0.010521919694516492
hef_gbdt_e5_finetuned_jina_oof,amazon_google,15,3,0.6649331319144318,0.004969741333402827,0.6061074822522082,0.04100114685942643,0.7421652421652422,0.05802111639434842,0.9260791687940789,0.006344049630231216,0.603949670066972,0.01578700622160332,0.053631948829186586,0.001656670297590926,0.024447292614977238,0.005430711039377005
hef_gbdt_e5_finetuned_jina_oof,amazon_google,20,3,0.661730498685216,0.0066467004744334,0.598800386449738,0.02406560851083263,0.7407407407407407,0.02192992068139691,0.9231710135061276,0.0059633862470345805,0.6023739380087779,0.022647341877890803,0.054418412838934144,0.002282801465263411,0.028124463798186995,0.0040663875605368455
hef_gbdt_e5_finetuned_jina_oof,amazon_google,25,3,0.6834456019983318,0.0029700122979528423,0.6236932357570538,0.015163564544154096,0.7564102564102564,0.015408338784034149,0.9414933949902381,0.005223798132584895,0.6379767829545543,0.01914536673967335,0.05074691194803528,0.0004526855135996265,0.02355592435451467,0.007903412511764197
hef_gbdt_e5_finetuned_jina_oof,amazon_google,30,3,0.6962703878609455,0.01464219201804031,0.6299052612679336,0.049529685510107384,0.7834757834757835,0.04726683767247025,0.9387796471332168,0.017557023448626165,0.6456811549179663,0.011670890247947322,0.04851385777379671,0.0012551529954336405,0.01727949375597576,0.0030460847262892524
hef_gbdt_e5_finetuned_jina_oof,amazon_google,35,3,0.6966081824747665,0.002177176127671285,0.6429948303385803,0.03994634974030139,0.764957264957265,0.05555555555555559,0.9424367207271529,0.005310812176360239,0.6859700100375693,0.022907548735984905,0.048102879454044144,0.001690836700331126,0.022232680780853338,0.0036588810537311668
hef_gbdt_e5_finetuned_jina_oof,amazon_google,40,3,0.7198659979875208,0.009228432592810724,0.6328399322765255,0.006844970567666729,0.8347578347578347,0.017271161898834958,0.9449979175574125,0.011332886289663767,0.7293966205019874,0.007497633159171192,0.04433759565989492,0.0007547103189970097,0.018379305297482745,8.292682619814622e-05
hef_gbdt_e5_finetuned_jina_oof,amazon_google,45,3,0.7180988674023989,0.009243207731982594,0.6543345543345543,0.018279574984539138,0.7962962962962963,0.020195793274583786,0.9434897033245746,0.005719625812089894,0.7083743255974285,0.03355286691258723,0.045419374340289226,0.0008934063902352868,0.0236740105473859,0.0015443897476418616
hef_gbdt_e5_finetuned_jina_oof,amazon_google,50,3,0.7221342884557164,0.0238997347699129,0.6396844402716296,0.04089011230655896,0.8304843304843305,0.006527885605350225,0.9461436069012562,0.0013876374473852833,0.699265298385989,0.0040345210606426265,0.045968443203470995,0.0016212947457838495,0.026094715541824975,0.0020350136242871224
